name,page_link,rating_stars,certifications,phone_number,about_section
US Roofing & Siding Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/matawan/us-roofing-siding-inc-1141909,5.0,GAF Master Elite®,(609) 982-8206,N/A
A&S Construction & Son Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/as-construction-son-inc-1120367,5.0,GAF Master Elite®,(347) 326-4098,A Father and son business established in 1993 serving the five boroughs of New York City and New Jersey for 26 years.
Matute Roofing,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/matute-roofing-1113654,5.0,"President's Club Award, GAF Master Elite®",(973) 618-6489,"Matute Roofing is a family owned and operated roofing company with over 20 years experience Matute Roofing is Licensed and fully insured Matute Roofing is committed to providing you with the finest products ,skilled workmanship and courteous service We are the honest dependable and reliable you can TRUST"
Preferred Exterior Corp,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-hyde-park/preferred-exterior-corp-1004859,5.0,"President's Club Award, GAF Master Elite®",(516) 354-7252,"At Preferred Exterior our reputation is backed by four decades of experience. We are a family owned and operated establishment specializing in commercial, industrial, and residential roofing and siding. Our work goes beyond professionalism; our reputation has been built on knowledge, craftsmanship and integrity. We at Preferred Exterior are certified installers of all major manufacturers roofing and siding products. We are a fully licensed and insured establishment with certificates of liability and workers compensation available upon request. Job References Available upon request. Residential Roofing & Siding Specialists Re-Roofing Complete Roof Removals & Cleanups GAF MASTER ELITE INSTALLERS *Special manufacturers warranties with all work* Custom facbriacted Copper & Aluminum Roofing Vinyl & James Hardie Siding, Shakes, Soffit & Trim Seamless Gutters & Leaders Replacement Windows Skylights Ventilation Systems Flat Roof Specialists Removal and replacement Re-roofing Manufacturer No Dollar Limit Warranties ( NDL Warranties cover labor & material ) Approved applicators of all major manufacturers ( Carlisle, Firestone, GAF, JM & Versico ) Single Ply: EPDM & TPO Hot tar Built-Up Tapered Roof Systems Modified Rubberized Roof Systems Roof Coatings Master Elite # ME18626 Nassau County License # H2704580000 Suffolk County License# 44672-H Registered with Better Business Bureau & Consumer Affairs"
Allied Brothers Home Corporation,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/allied-brothers-home-corporation-1116285,4.9,"President's Club Award, GAF Master Elite®",(973) 566-0060,"Since its founding in 1996, Allied Brothers Home Corporation has become one of the largest and fastest-growing companies in New Jersey’s tri-state area. Our service area has completed hundreds of commercial and residential roofing, gutter, siding, window, and door projects. The quality of our craftsmanship has earned us outstanding ratings and positive reviews from our customers. Whether you’re looking for help with something minor or need an experienced professional to take on a larger scale project, we can handle it all. We offer top-notch work at fair and competitive prices. Contact us today for a free quote."
Jersey Roofing LLC,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/garfield/jersey-roofing-llc-1141159,5.0,"President's Club Award, GAF Master Elite®",(201) 982-2718,"Jersey Roofing LLC is family owned since 1984, with over 39 years of experience. 6 Gold Award Winner's in 2018, 2019, 2020, 20212022 and 2023. Licensed and Fully Insured, our company is committed to providing you with the finest products, skilled workmanship and courteous service. Honest, dependable and reliable, you can TRUST the experienced professionals at Jersey Roofing LLC. We want you to know that we take your project seriously and we will work hard to build a lasting relationship. Call us to schedule a FREE estimate. Financing available."
Donny's Home Improvement,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/elmwood-park/donnys-home-improvement-1139561,5.0,"President's Club Award, GAF Master Elite®",(973) 333-6364,"Established in 2002, Donny's Home Improvement is a home improvement company that has built a reputable name for quality workmanship and superior services. Licensed and insured, you can trust our highly skilled specialists will provide you with top-notch results and a worry-free experience. Based in the state of NJ, our locally owned and operated business will cater to your needs, giving you personalized care as our valued client. With us, you can rest assured that the job will be done with skill and precision. We are detail-oriented, responsible, honest, prompt and affordable. We also offer various roofing options to suit your budget and style preferences, including asphalt shingles, metal roofing, and rubber roofing. If you have a property in need of professional home improvement services, contact us today. We will provide a clear and timely estimate and get the job done quickly. Donny's Home Improvement is your reliable service in the state of New Jersey with affordable rates and discounts for qualified buyers and veterans. Call us today."
Blue Nail Exteriors,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montville/blue-nail-exteriors-1113999,4.9,"President's Club Award, GAF Master Elite®",(973) 937-8876,"Here at Blue Nail Exteriors, we make transforming your home effortless with our exceptional craftsmanship and attention to detail. Our fully staffed team and dedicated office are here to support you every step of the way—from the first call to the last nail. With our guidance, you'll feel informed, confident, and ready to protect and enhance your home for the next 30 years. Contact us today for your free estimate!"
The Great American Roofing Company,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ramsey/the-great-american-roofing-company-1001655,4.9,"President's Club Award, GAF Master Elite®",(201) 825-2955,"Family owned and operated since 1974. Roofing is our only business. No deposit, no payment due until your project is completed. Financing available."
American Roofing and Siding,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/nutley/american-roofing-and-siding-1005677,4.9,"President's Club Award, GAF Master Elite®",(973) 542-0710,"Quality workmanship at a price you can afford, American Roofing is your trusted Roofing company! We specialize is residential roofing, siding and windows and most jobs are completed in one day. We are fully insured and have received countless service awards, including BBB, Angie's List and Master Elite."
John Goess Roofing Inc,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/westbury/john-goess-roofing-inc-1003844,4.9,"President's Club Award, GAF Master Elite®",(934) 300-7686,"Serving our community for over 45 years .We have installed over 12,000 complete roofs in NASSAU AND SUFFOLK COUNTIES.WE HAVE WON THE ANGIES' LIST SUPER SERVICE AWARD every year since 2008. I treat all my customers the way my wife expects to be treated"
